name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,e_nom_max,control,weight,p_nom_opt
80071 load shedding,,80071,,load shedding,88785.0,False,1.0,10000.001399234496,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80072 load shedding,,80072,,load shedding,88785.0,False,1.0,10000.003768828692,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80073 load shedding,,80073,,load shedding,88785.0,False,1.0,10000.008558868803,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80074 load shedding,,80074,,load shedding,88785.0,False,1.0,10000.016161503112,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80075 load shedding,,80075,,load shedding,88785.0,False,1.0,10000.002279870063,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80076 load shedding,,80076,,load shedding,88785.0,False,1.0,10000.000724869513,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80077 load shedding,,80077,,load shedding,88785.0,False,1.0,10000.000561835675,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80078 load shedding,,80078,,load shedding,88785.0,False,1.0,10000.016251691513,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80079 load shedding,,80079,,load shedding,88785.0,False,1.0,10000.008331173929,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80080 load shedding,,80080,,load shedding,88785.0,False,1.0,10000.011308268411,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80081 load shedding,,80081,,load shedding,88785.0,False,1.0,10000.000502409492,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80082 load shedding,,80082,,load shedding,88785.0,False,1.0,10000.004290725064,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80083 load shedding,,80083,,load shedding,88785.0,False,1.0,10000.00738510794,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80084 load shedding,,80084,,load shedding,88785.0,False,1.0,10000.011077357434,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80085 load shedding,,80085,,load shedding,88785.0,False,1.0,10000.003533030786,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80086 load shedding,,80086,,load shedding,88785.0,False,1.0,10000.000996322247,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80087 load shedding,,80087,,load shedding,88785.0,False,1.0,10000.005548337205,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80088 load shedding,,80088,,load shedding,88785.0,False,1.0,10000.01243709197,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80089 load shedding,,80089,,load shedding,88785.0,False,1.0,10000.00010783661,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80090 load shedding,,80090,,load shedding,88785.0,False,1.0,10000.00376759482,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80091 load shedding,,80091,,load shedding,88785.0,False,1.0,10000.005010353463,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80092 load shedding,,80092,,load shedding,88785.0,False,1.0,10000.004609401816,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80093 load shedding,,80093,,load shedding,88785.0,False,1.0,10000.000325587449,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80094 load shedding,,80094,,load shedding,88785.0,False,1.0,10000.010002607687,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80095 load shedding,,80095,,load shedding,88785.0,False,1.0,10000.007072674522,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80096 load shedding,,80096,,load shedding,88785.0,False,1.0,10000.006127354254,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
80097 load shedding,,80097,,load shedding,88785.0,False,1.0,10000.004775427224,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
